,Date,AwayTeam,HomeTeam,AwayFirst,AwaySecond,AwayThird,AwayFourth,AwayFinal,AwayML,HomeFirst,HomeSecond,HomeThird,HomeFourth,HomeFinal,HomeML,Spread,Favorite,TotalPoints,day,month,year
0,2012-10-30,Washington,Cleveland,24.0,15.0,23.0,22.0,84.0,210.0,27.0,23.0,24.0,20.0,94.0,-250.0,6.0,Home,190.5,30,10,2012.0
1,2012-10-30,Boston,Miami,25.0,29.0,22.0,31.0,107.0,240.0,31.0,31.0,31.0,27.0,120.0,-280.0,6.5,Home,187.5,30,10,2012.0
2,2012-10-30,Dallas,LALakers,25.0,23.0,26.0,25.0,99.0,400.0,29.0,17.0,20.0,25.0,91.0,-500.0,8.5,Home,186.5,30,10,2012.0
3,2012-10-31,Indiana,Toronto,27.0,21.0,15.0,27.0,90.0,-120.0,25.0,23.0,23.0,17.0,88.0,100.0,1.0,Away,190.0,31,10,2012.0
4,2012-10-31,Denver,Philadelphia,22.0,16.0,14.0,23.0,75.0,-130.0,25.0,21.0,19.0,19.0,84.0,110.0,2.0,Away,197.5,31,10,2012.0
5,2012-10-31,Houston,Detroit,27.0,28.0,17.0,33.0,105.0,115.0,22.0,36.0,23.0,15.0,96.0,-135.0,2.5,Home,194.0,31,10,2012.0
6,2012-10-31,SanAntonio,NewOrleans,28.0,15.0,28.0,28.0,99.0,-305.0,31.0,19.0,21.0,24.0,95.0,255.0,7.0,Away,186.5,31,10,2012.0
7,2012-10-31,Sacramento,Chicago,23.0,17.0,23.0,24.0,87.0,235.0,25.0,19.0,25.0,24.0,93.0,-275.0,6.5,Home,191.0,31,10,2012.0
8,2012-10-31,Dallas,Utah,26.0,37.0,13.0,18.0,94.0,330.0,25.0,30.0,37.0,21.0,113.0,-400.0,8.0,Home,194.5,31,10,2012.0
9,2012-10-31,GoldenState,Phoenix,25.0,23.0,17.0,22.0,87.0,120.0,21.0,21.0,25.0,18.0,85.0,-140.0,2.0,Home,202.0,31,10,2012.0
10,2012-10-31,Memphis,LAClippers,24.0,29.0,24.0,15.0,92.0,155.0,26.0,23.0,24.0,28.0,101.0,-175.0,4.5,Home,188.0,31,10,2012.0
11,2012-10-31,LALakers,Portland,26.0,31.0,19.0,30.0,106.0,-135.0,30.0,32.0,30.0,24.0,116.0,115.0,2.0,Away,192.0,31,10,2012.0
12,2012-11-01,OklahomaCity,SanAntonio,24.0,16.0,26.0,18.0,84.0,110.0,21.0,24.0,21.0,20.0,86.0,-130.0,2.0,Home,204.0,1,11,2012.0
13,2012-11-02,Indiana,Charlotte,20.0,23.0,27.0,19.0,89.0,-300.0,17.0,22.0,35.0,16.0,90.0,250.0,7.0,Away,183.0,2,11,2012.0
14,2012-11-02,Denver,Orlando,18.0,19.0,31.0,21.0,89.0,-250.0,29.0,29.0,20.0,24.0,102.0,210.0,6.0,Away,197.0,2,11,2012.0
15,2012-11-02,Houston,Atlanta,28.0,25.0,28.0,28.0,109.0,180.0,21.0,23.0,30.0,28.0,102.0,-220.0,5.0,Home,203.0,2,11,2012.0
16,2012-11-02,Milwaukee,Boston,25.0,21.0,30.0,23.0,99.0,270.0,18.0,12.0,28.0,30.0,88.0,-330.0,7.0,Home,196.5,2,11,2012.0
